txn_id,customer_id,account_id,amount,txn_type,payment_mode,category,subcategory,merchant_name,txn_date,city,state,country,description,created_at
1,5,3,1250.75,DEBIT,UPI,FOOD,Restaurant,Zomato,05-02-2025 14:30,Nagpur,Maharashtra,India,Dinner at Barbeque Nation,10-12-2025 12:12
2,5,3,2300,DEBIT,UPI,SHOPPING,Shirt,Myntra,10-12-2025 17:26,Nagpur,Maharashtra,India,online shopping,11-12-2025 11:59
3,5,3,100,DEBIT,UPI,TRAVEL,Metro,Mumbai Metro,10-12-2025 17:35,Mumbai,Maharashtra,India,for transport,11-12-2025 12:06
4,17,15,599,DEBIT,WALLET,SUBSCRIPTIONS,Mobile Recharge,Airtel,09-12-2025 18:03,Kolhapur,Maharashtra,India,internet pack,11-12-2025 12:34
5,1,51,7321.72,DEBIT,WALLET,OTHERS,Pet Care,Pet Clinic,25-10-2025 00:20,Jaipur,Rajasthan,India,Payment for Pet Care at Pet Clinic.,12-12-2025 11:43
6,2,52,3521.25,DEBIT,WALLET,FOOD,Groceries,Saravana Bhavan,15-10-2025 03:31,Jaipur,Rajasthan,India,Payment for Groceries at Saravana Bhavan.,12-12-2025 11:43
7,3,1,4932.38,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Gym Membership,Cult.fit/Anytime Fitness,01-12-2025 05:56,Jaipur,Rajasthan,India,Payment for Gym Membership at Cult.fit/Anytime Fitness.,12-12-2025 11:43
8,4,2,36409.77,DEBIT,AUTO_DEBIT,EDUCATION,Tuition Fees,University Book Store,13-10-2025 22:51,Chennai,Tamil Nadu,India,Payment for Tuition Fees at University Book Store.,12-12-2025 11:43
9,5,3,4903.4,DEBIT,UPI,OTHERS,Donation,Pet Clinic,18-08-2025 01:13,Jaipur,Rajasthan,India,Payment for Donation at Pet Clinic.,12-12-2025 11:43
10,6,4,15596.06,DEBIT,CASH,SHOPPING,Electronics,Amazon India/Myntra,22-10-2025 23:35,Pune,Maharashtra,India,Payment for Electronics at Amazon India/Myntra.,12-12-2025 11:43
11,7,5,3468.5,DEBIT,CARD,SHOPPING,Books,Croma/Reliance Digital,28-10-2025 06:35,Jaipur,Rajasthan,India,Payment for Books at Croma/Reliance Digital.,12-12-2025 11:43
12,8,6,368.24,DEBIT,CASH,OTHERS,Gifts,Pet Clinic,20-10-2025 22:22,Hyderabad,Telangana,India,Payment for Gifts at Pet Clinic.,12-12-2025 11:43
13,9,7,20223.2,DEBIT,WALLET,TRAVEL,Local Sightseeing,Indigo/Air India,12-12-2025 06:55,Pune,Maharashtra,India,Payment for Local Sightseeing at Indigo/Air India.,12-12-2025 11:43
14,10,8,1609.98,DEBIT,UPI,TRANSPORT,Cab,IOCL Pump,28-06-2025 11:08,Mumbai,Maharashtra,India,Payment for Cab at IOCL Pump.,12-12-2025 11:43
15,11,9,52625.47,DEBIT,AUTO_DEBIT,FINANCE,Investment,HDFC Bank/SBI,07-08-2025 16:29,Chennai,Tamil Nadu,India,Payment for Investment at HDFC Bank/SBI.,12-12-2025 11:43
16,12,10,335.4,DEBIT,AUTO_DEBIT,OTHERS,Gifts,NGO India,23-07-2025 13:40,Pune,Maharashtra,India,Payment for Gifts at NGO India.,12-12-2025 11:43
