brand,model,launch_year,country,body_type,segment,engine_cc,horsepower,fuel_type,transmission,drivetrain,seating_capacity,price_USD,is_alive
Toyota,Corolla,1966,Japan,Sedan,Compact,1798,169,Petrol-Hybrid,CVT,FWD,5,23000,Yes
Toyota,Camry,1982,Japan,Sedan,Mid-size,2487,225,Petrol-Hybrid,CVT,FWD,5,29000,Yes
Toyota,RAV4,1994,Japan,SUV,Compact SUV,2487,203,Petrol,Automatic,AWD,5,30000,Yes
Toyota,Land Cruiser,1951,Japan,SUV,Full-size SUV,3346,326,Diesel,Automatic,4WD,7,57000,Yes
Toyota,Supra,1978,Japan,Coupe,Sports,2998,382,Petrol,Automatic,RWD,2,57000,Yes
Honda,Civic,1972,Japan,Sedan,Compact,1996,158,Petrol,CVT,FWD,5,25000,Yes
Honda,CR-V,1995,Japan,SUV,Compact SUV,1993,204,Petrol-Hybrid,CVT,AWD,5,31000,Yes
Honda,NSX,1990,Japan,Coupe,Supercar,3493,573,Petrol-Hybrid,Automatic,AWD,2,171000,No
Ford,Mustang,1964,USA,Coupe,Muscle,5038,486,Petrol,Automatic,RWD,4,33000,Yes
Ford,F-150,1975,USA,Pickup,Full-size Truck,3496,400,Petrol,Automatic,4WD,5,38000,Yes
Ford,Bronco,1965,USA,SUV,Off-road SUV,2261,300,Petrol,Automatic,4WD,5,41000,Yes
Chevrolet,Camaro,1966,USA,Coupe,Muscle,6162,455,Petrol,Manual,RWD,4,32000,No
Chevrolet,Corvette,1953,USA,Coupe,Sports,6162,495,Petrol,DCT,RWD,2,70000,Yes
Chevrolet,Silverado,1998,USA,Pickup,Full-size Truck,5328,355,Petrol,Automatic,4WD,6,39000,Yes
Volkswagen,Golf,1974,Germany,Hatchback,Compact,1498,148,Petrol,DSG,FWD,5,27000,Yes
Volkswagen,Beetle,1938,Germany,Coupe,Compact,1984,174,Petrol,Automatic,FWD,4,21000,No
Volkswagen,ID.4,2020,Germany,SUV,Compact SUV,0,282,Electric,Single-Speed,AWD,5,41000,Yes
BMW,3 Series,1975,Germany,Sedan,Compact Executive,1998,255,Petrol,Automatic,RWD,5,45000,Yes
BMW,X5,1999,Germany,SUV,Mid-size SUV,2998,375,Petrol,Automatic,AWD,5,67000,Yes
BMW,M3,1986,Germany,Sedan,Performance,2993,473,Petrol,Manual,RWD,5,77000,Yes
Mercedes-Benz,C-Class,1993,Germany,Sedan,Compact Executive,1999,255,Petrol,Automatic,RWD,5,48000,Yes
Mercedes-Benz,S-Class,1972,Germany,Sedan,Luxury,2999,429,Petrol,Automatic,AWD,5,118000,Yes
Mercedes-Benz,G-Class,1979,Germany,SUV,Off-road SUV,3982,577,Petrol,Automatic,4WD,5,148000,Yes
Mercedes-Benz,EQS,2021,Germany,Sedan,Luxury EV,0,516,Electric,Single-Speed,AWD,5,105000,Yes
Audi,A4,1994,Germany,Sedan,Compact Executive,1984,201,Petrol,Automatic,AWD,5,42000,Yes
Audi,R8,2006,Germany,Coupe,Supercar,5204,562,Petrol,Automatic,AWD,2,160000,No
Audi,e-tron GT,2021,Germany,Sedan,Performance EV,0,522,Electric,Two-Speed,AWD,4,107000,Yes
Porsche,911,1963,Germany,Coupe,Sports,2981,388,Petrol,PDK,RWD,4,116000,Yes
Porsche,Cayenne,2002,Germany,SUV,Mid-size SUV,2995,348,Petrol,Automatic,AWD,5,81000,Yes
