Day,Age,Gender,Food,Bill
Monday, 25, Male, Biryani, 250
Tuesday, 30, Female, Paneer Butter Masala, 200
Wednesday, 22, Male, Butter Chicken, 300
Thursday, 28, Female, Veg Thali, 150
Friday, 35, Male, Chicken Curry, 220
Saturday, 40, Female, Dal Makhani, 180
Sunday, 29, Male, Masala Dosa, 100
Monday, 26, Female, Idli, 80
Tuesday, 32, Male, Aloo Paratha, 90
Wednesday, 24, Female, Chole Bhature, 120
Thursday, 31, Male, Fish Curry, 270
Friday, 27, Female, Rajma Chawal, 150
Saturday, 23, Male, Pani Puri, 50
Sunday, 34, Female, Samosa, 30
Monday, 25, Male, Biryani, 250
Tuesday, 30, Female, Paneer Butter Masala, 200
Wednesday, 22, Male, Butter Chicken, 300
Thursday, 28, Female, Veg Thali, 150
Friday, 35, Male, Chicken Curry, 220
Saturday, 40, Female, Dal Makhani, 180
Sunday, 29, Male, Masala Dosa, 100
Monday, 26, Female, Idli, 80
Tuesday, 32, Male, Aloo Paratha, 90
Wednesday, 24, Female, Chole Bhature, 120
Thursday, 31, Male, Fish Curry, 270
Friday, 27, Female, Rajma Chawal, 150
Saturday, 23, Male, Pani Puri, 50
Sunday, 34, Female, Samosa, 30
Monday, 25, Male, Biryani, 250
Tuesday, 30, Female, Paneer Butter Masala, 200
Wednesday, 22, Male, Butter Chicken, 300
Thursday, 28, Female, Veg Thali, 150
Friday, 35, Male, Chicken Curry, 220
Saturday, 40, Female, Dal Makhani, 180
Sunday, 29, Male, Masala Dosa, 100
Monday, 26, Female, Idli, 80
Tuesday, 32, Male, Aloo Paratha, 90
Wednesday, 24, Female, Chole Bhature, 120
Thursday, 31, Male, Fish Curry, 270
Friday, 27, Female, Rajma Chawal, 150
Saturday, 23, Male, Pani Puri, 50
Sunday, 34, Female, Samosa, 30
Monday, 25, Male, Biryani, 250
Tuesday, 30, Female, Paneer Butter Masala, 200
Wednesday, 22, Male, Butter Chicken, 300
Thursday, 28, Female, Veg Thali, 150
Friday, 35, Male, Chicken Curry, 220
Saturday, 40, Female, Dal Makhani, 180
Sunday, 29, Male, Masala Dosa, 100
Monday, 26, Female, Idli, 80
Tuesday, 32, Male, Aloo Paratha, 90
Wednesday, 24, Female, Chole Bhature, 120
Thursday, 31, Male, Fish Curry, 270
Friday, 27, Female, Rajma Chawal, 150
Saturday, 23, Male, Pani Puri, 50
Sunday, 34, Female, Samosa, 30
Monday, 25, Male, Biryani, 250
Tuesday, 30, Female, Paneer Butter Masala, 200
Wednesday, 22, Male, Butter Chicken, 300
Thursday, 28, Female, Veg Thali, 150
Friday, 35, Male, Chicken Curry, 220
Saturday, 40, Female, Dal Makhani, 180
Sunday, 29, Male, Masala Dosa, 100
Monday, 26, Female, Idli, 80
Tuesday, 32, Male, Aloo Paratha, 90
Wednesday, 24, Female, Chole Bhature, 120
Thursday, 31, Male, Fish Curry, 270
Friday, 27, Female, Rajma Chawal, 150
Saturday, 23, Male, Pani Puri, 50
Sunday, 34, Female, Samosa, 30
Monday, 25, Male, Biryani, 250
Tuesday, 30, Female, Paneer Butter Masala, 200
Wednesday, 22, Male, Butter Chicken, 300
Thursday, 28, Female, Veg Thali, 150
Friday, 35, Male, Chicken Curry, 220
Saturday, 40, Female, Dal Makhani, 180
Sunday, 29, Male, Masala Dosa, 100
Monday, 26, Female, Idli, 80
Tuesday, 32, Male, Aloo Paratha, 90
Wednesday, 24, Female, Chole Bhature, 120
Thursday, 31, Male, Fish Curry, 270
Friday, 27, Female, Rajma Chawal, 150
Saturday, 23, Male, Pani Puri, 50
Sunday, 34, Female, Samosa, 30
Monday, 25, Male, Biryani, 250
Tuesday, 30, Female, Paneer Butter Masala, 200
Wednesday, 22, Male, Butter Chicken, 300
Thursday, 28, Female, Veg Thali, 150
Friday, 35, Male, Chicken Curry, 220
Saturday, 40, Female, Dal Makhani, 180
Sunday, 29, Male, Masala Dosa, 100
Monday, 26, Female, Idli, 80
Tuesday, 32, Male, Aloo Paratha, 90
Wednesday, 24, Female, Chole Bhature, 120
Thursday, 31, Male, Fish Curry, 270
Friday, 27, Female, Rajma Chawal, 150
Saturday, 23, Male, Pani Puri, 50
Sunday, 34, Female, Samosa, 30
